Instante de Tempo   ,Fila de pedidos                                   ,Em produção         ,Prontos                                           
172                 ,54613 41859 89208 93084 31761 51429 64885         ,64546               ,26827 29795 42129 49812 53922 82728 94493         
173                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
174                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
175                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
176                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
177                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
178                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
179                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
180                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
181                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
182                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
183                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
184                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
185                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
186                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
187                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
188                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
189                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
190                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
191                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
192                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
193                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
194                 ,41859 89208 93084 31761 51429 64885               ,54613               ,26827 29795 42129 49812 53922 64546 82728 94493   
195                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
196                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
197                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
198                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
199                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
200                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
201                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
202                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
203                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
204                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
205                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
206                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
207                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
208                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
209                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
210                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
211                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
212                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
213                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
214                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
215                 ,89208 93084 31761 51429 64885                     ,41859               ,26827 29795 42129 49812 53922 54613 64546 82728 94493
216                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
